,Date,Open,High,Low,Close,Adj Close,Volume,interest_rate,Trend,Seasonal,Residual,SMA,EMA,RSI
15,1999-10-22,13.375,13.5625,13.3125,13.5,8.497826,191200,5.28,14.452083333333336,-0.35857961643627345,-0.5935037168970626,13.225,13.381291663887712,68.42105263157895
16,1999-10-25,13.4375,13.9375,13.4375,13.9375,8.77322,153100,5.28,14.578125000000002,-0.28054116918137295,-0.3600838308186288,13.45,13.56669444259181,90.9090909090909
17,1999-10-26,13.8125,14.125,13.8125,14.0,8.812562,65600,5.2,14.694791666666669,-0.29243802859313534,-0.4023536380735336,13.6,13.711129628394541,87.5
18,1999-10-27,14.0,14.1875,14.0,14.0625,8.851907,100900,5.07,14.793750000000001,-0.5340616523186245,-0.1971883476813766,13.7875,13.828253085596362,100.0
19,1999-10-28,14.1875,14.5,14.125,14.125,8.891244,255300,4.92,14.889583333333336,-0.3668045558480404,-0.39777877748529566,13.925,13.927168723730908,100.0
20,1999-10-29,14.125,15.25,14.125,15.25,9.599396,123200,5.2,15.001041666666666,-0.440755910357843,0.6897142436911773,14.275,14.368112482487273,100.0
21,1999-11-01,15.0,15.0,14.625,14.75,9.284661,41800,5.11,15.122916666666667,0.1725095045441159,-0.5454261712107826,14.4375,14.495408321658182,72.41379310344828
22,1999-11-02,14.75,14.875,14.3125,14.75,9.284661,66600,5.11,15.26875,0.38758153846568666,-0.9063315384656874,14.5875,14.58027221443879,71.42857142857143
23,1999-11-03,14.6875,14.875,14.6875,14.75,9.284661,18500,5.11,15.427083333333332,0.16147151258333395,-0.8385548459166661,14.725,14.636848142959193,70.37037037037037
24,1999-11-04,14.875,15.125,14.5,14.9375,9.402688,72100,5.23,15.582291666666666,0.20489826023039345,-0.8496899268970599,14.8875,14.737065428639463,72.41379310344828
25,1999-11-05,15.0,15.875,14.875,15.75,9.914131,122900,5.22,15.746875000000001,-0.4437196897696066,0.4468446897696055,14.9875,15.074710285759643,66.66666666666666
26,1999-11-08,15.875,17.375,15.8125,16.625,10.464918,240000,5.29,15.923958333333333,-0.11299316114215364,0.8140348278088204,15.3625,15.591473523839763,100.0
27,1999-11-09,16.75,16.75,16.125,16.125,10.150182,42400,5.31,16.105208333333334,-0.24509857565195986,0.2648902423186263,15.6375,15.769315682559844,78.94736842105263
28,1999-11-10,16.0,16.125,15.8125,16.0625,10.110843,59900,5.27,16.291666666666668,0.09502008807353138,-0.3241867547401992,15.9,15.86704378837323,76.92307692307692
29,1999-11-11,16.0625,16.25,16.0625,16.125,10.150182,20000,5.27,16.48541666666667,0.3911632333676469,-0.7515799000343162,16.1375,15.953029192248822,75.67567567567568
30,1999-11-12,16.25,18.5,16.25,18.0,11.330432,248500,5.27,16.6625,0.4251332737598042,0.9123667262401944,16.5875,16.63535279483255,83.33333333333333
31,1999-11-15,18.1875,18.1875,17.5,17.6875,11.133726,99200,5.38,16.821875,0.07717449081862751,0.7884505091813739,16.8,16.986068529888367,68.88888888888889
32,1999-11-16,17.6875,17.6875,17.375,17.4375,10.976358,95300,5.18,16.969791666666666,0.2994282210147075,0.16828011231862677,17.0625,17.136545686592246,75.60975609756098
33,1999-11-17,17.6875,18.25,17.25,17.5,11.0157,107900,5.21,17.109375,-0.1258470066323533,0.5164720066323533,17.35,17.25769712439483,78.04878048780488
34,1999-11-18,17.5,17.5,17.25,17.25,10.858332,67500,5.27,17.2375,0.3106309351323527,-0.2981309351323534,17.575,17.25513141626322,70.45454545454545
35,1999-11-19,17.25,17.75,17.1875,17.625,11.094385,31200,5.14,17.332291666666663,0.33074210924999936,-0.03803377591666224,17.5,17.37842094417548,35.0
36,1999-11-22,17.5625,17.875,17.5625,17.8125,11.21241,36500,5.14,17.40833333333333,0.23761229728921457,0.166554369377454,17.525,17.523113962783654,55.55555555555556
37,1999-11-23,17.8125,19.375,17.8125,19.125,12.038589,65500,5.14,17.4875,0.5333961268970575,1.1041038731029418,17.8625,18.057075975189104,88.57142857142857
38,1999-11-24,19.0,19.0,18.375,18.5625,11.684511,53800,5.23,17.561458333333334,0.4848904565048981,0.5161512101617676,18.075,18.22555065012607,69.76744186046511
39,1999-11-26,18.5,18.5,18.375,18.4375,11.60583,2600,5.22,17.632291666666664,-0.07113732918137602,0.8763456625147125,18.3125,18.296200433417383,73.17073170731707
40,1999-11-29,18.375,18.375,17.875,18.125,11.409117,20200,5.27,17.688541666666662,0.12151322199509693,0.3149451113382409,18.4125,18.239133622278256,60.0
41,1999-11-30,18.1875,18.5,18.1875,18.375,11.566486,38100,5.27,17.714583333333334,0.016259431995096076,0.6441572346715704,18.525,18.284422414852173,60.97560975609756
42,1999-12-01,18.375,18.625,18.25,18.5625,11.684511,43800,5.45,17.738541666666666,0.0041376402303912735,0.8198206931029423,18.4125,18.377114943234783,30.434782608695656
43,1999-12-02,18.5625,19.0,18.5625,19.0,11.959903,33200,5.45,17.773958333333333,-0.5163103089852934,1.7423519756519605,18.5,18.584743295489858,66.66666666666666
44,1999-12-03,19.125,19.375,19.0625,19.1875,12.077934,62000,5.45,17.808333333333334,-0.4652753380539213,1.8444420047205878,18.65,18.78566219699324,77.27272727272728
45,1999-12-06,19.1875,19.1875,18.25,18.375,11.566486,38200,5.64,17.81458333333333,-0.35857961643627345,0.918996283102942,18.7,18.648774797995493,56.666666666666664
46,1999-12-07,18.5,19.0,18.4375,18.625,11.723853,112500,5.4,17.796874999999996,-0.28054116918137295,1.1086661691813764,18.75,18.64084986533033,56.666666666666664
47,1999-12-08,18.5,18.5,18.0,18.1875,11.448461,27700,5.41,17.787499999999998,-0.29243802859313534,0.6924380285931375,18.675,18.489733243553555,41.17647058823529
48,1999-12-09,18.25,18.375,18.125,18.25,11.487799,15500,5.49,17.78020833333333,-0.5340616523186245,1.0038533189852936,18.525,18.40982216236904,28.57142857142857
49,1999-12-10,18.125,18.125,17.625,17.625,11.094385,22400,5.43,17.764583333333334,-0.3668045558480404,0.2272212225147061,18.2125,18.148214774912695,14.285714285714292
50,1999-12-13,17.75,18.0,17.4375,17.4375,10.976358,44500,5.43,17.724999999999998,-0.440755910357843,0.15325591035784514,18.025,17.911309849941798,20.0
51,1999-12-14,17.25,17.25,17.0625,17.125,10.779654,19400,5.43,17.661458333333325,0.1725095045441159,-0.7089678378774409,17.725,17.649206566627868,3.846153846153854
52,1999-12-15,17.125,17.125,16.875,17.125,10.779654,11100,5.53,17.574999999999992,0.38758153846568666,-0.8375815384656788,17.5125,17.47447104441858,5.26315789473685
53,1999-12-16,17.0625,17.25,16.8125,16.8125,10.582939,90700,5.59,17.478124999999995,0.16147151258333395,-0.827096512583329,17.225,17.253814029612386,0.0
